#{"t_start": 1621313174.161331, "env_id": null}
r,l,t
3.5,6,29.302123
19.8,19,29.353668
82.7,80,29.588588
62.3,54,29.82029
42.9,40,29.982696
13.2,13,30.020304
5.7,8,30.045484
52.6,47,30.176187
10.3,15,30.213957
36.3,34,30.297934
45.1,42,30.416102
25.1,22,30.48351
60.3,54,30.642526
37.4,35,30.749131
31.9,30,30.839597
41.6,37,30.954402
11.2,13,30.996261
35.4,35,31.102366
14.9,22,31.170714
84.0,71,31.378918
68.6,70,31.58966
42.9,40,31.709576
1.3,4,31.725771
28.8,29,31.810764
54.4,45,31.928933
32.1,32,32.030047
34.8,29,32.117037
4.6,7,32.144327
13.4,15,32.187231
34.1,32,32.283966
39.2,33,32.389747
10.1,12,32.430114
55.2,54,32.58445
17.6,17,32.633137
12.3,14,32.673772
45.1,42,32.832692
31.7,28,32.905432
19.5,29,32.986475
51.9,52,33.146108
34.3,34,33.257518
63.6,57,33.420987
23.1,22,33.486464
88.9,80,33.727055
29.9,30,33.816306
18.9,20,33.87385
95.9,80,34.110895
42.9,40,34.231598
8.5,19,34.295927
37.2,33,34.406857
11.2,13,34.452157
14.3,14,34.503726
21.1,22,34.578775
79.7,68,34.786183
35.4,35,34.884806
20.0,21,34.94818
42.9,40,35.136594
46.2,43,35.276456
6.8,10,35.31192
42.9,40,35.432839
42.2,33,35.529181
39.8,39,35.649702
19.6,17,35.699823
89.6,77,35.914271
40.9,41,36.0436
21.5,28,36.142832
39.8,40,36.263115
12.3,14,36.310057
-2.9,3,36.324664
43.1,43,36.468081
47.3,44,36.605907
42.9,40,36.747725
16.7,18,36.794559
48.4,45,36.909401
24.4,25,36.995831
62.5,56,37.166046
13.4,15,37.206682
42.9,40,37.31828
17.8,19,37.370077
57.2,53,37.513037
29.9,30,37.592105
23.3,24,37.657144
64.9,60,37.835209
12.3,14,37.873999
65.3,54,38.024447
61.0,51,38.187159
5.7,8,38.212668
59.2,53,38.354818
60.5,56,38.508898
1.3,4,38.522842
5.7,8,38.546471
36.3,34,38.636117
18.7,18,38.686233
13.9,10,38.714542
22.2,23,38.775488
26.4,25,38.846359
9.0,11,38.878662
47.1,42,38.992708
10.1,12,39.02874
14.3,14,39.06914
24.2,23,39.132925
28.8,29,39.207691
4.6,7,39.22894
14.5,16,39.272036
42.9,40,39.376274
16.7,18,39.424398
77.0,72,39.621915
25.5,26,39.700002
59.2,53,39.849753
38.5,36,39.948788
78.8,69,40.149804
4.6,7,40.171648
42.9,40,40.283629
29.9,30,40.366173
37.6,37,40.466959
70.3,64,40.652739
39.5,51,40.80917
32.1,32,40.901133
10.1,12,40.936675
20.9,20,40.994668
42.7,38,41.105098
76.8,69,41.303155
76.8,69,41.509075
2.4,5,41.530078
27.3,24,41.603366
147.0,131,42.071149
103.0,91,42.332953
42.9,40,42.446881
14.3,14,42.488579
22.2,23,42.555136
16.7,18,42.606223
5.5,6,42.625491
73.3,64,42.815168
11.2,13,42.852226
4.6,7,42.874487
115.1,102,43.15671
42.9,40,43.265894
12.1,12,43.300744
87.4,75,43.49165
42.9,40,43.598766
11.4,16,43.643175
39.3,34,43.765719
16.7,18,43.826952
52.8,49,43.958964
24.2,23,44.020396
44.0,41,44.127323
33.2,33,44.220969
50.4,45,44.336265
42.9,40,44.444743
25.3,24,44.511855
17.8,19,44.563514
114.9,100,44.837033
6.8,9,44.864362
29.9,30,44.943926
1.3,4,44.957643
24.4,25,45.023485
26.6,27,45.095096
75.4,65,45.2873
14.5,16,45.332003
25.5,26,45.401053
39.8,39,45.508022
