#{"t_start": 1621051796.3662221, "env_id": null}
r,l,t
0,4,6.550198
0,3,6.562349
0,2,6.571872
0,2,6.580975
0,7,6.602351
0,2,6.611282
0,3,6.622661
0,5,6.639246
0,7,6.660336
0,3,6.672016
0,2,6.683003
0,2,6.695157
0,4,6.710485
0,3,6.722901
0,5,6.744671
0,4,6.774878
0,3,6.810183
0,5,6.848466
0,7,6.890231
0,3,6.909055
0,2,6.92332
0,4,6.948764
0,2,6.965054
0,3,6.982689
0,5,7.012768
0,3,7.032285
0,5,7.05383
0,9,7.092383
0,4,7.120545
0,2,7.141619
0,4,7.16765
0,6,7.197422
0,11,7.253965
0,5,7.287869
0,3,7.313662
0,2,7.32635
0,3,7.34955
0,4,7.372631
0,6,7.404694
0,3,7.426804
0,3,7.447717
0,7,7.482065
0,11,7.536356
0,5,7.561395
0,7,7.600441
0,3,7.617816
0,3,7.636392
0,5,7.665565
0,6,7.68605
0,4,7.702693
0,7,7.737606
0,2,7.752244
0,2,7.766938
0,12,7.812895
0,2,7.822408
0,5,7.839721
0,3,7.852323
0,3,7.864738
0,3,7.876632
0,3,7.888717
0,7,7.911591
0,5,7.929685
0,2,7.93898
0,2,7.948332
0,4,7.962423
0,9,7.989902
0,4,8.004638
0,3,8.017082
0,3,8.028597
0,5,8.046846
0,3,8.058287
0,10,8.087935
0,3,8.100677
0,6,8.12037
0,2,8.129627
0,2,8.138961
0,4,8.153299
0,2,8.162362
0,3,8.174572
0,2,8.184185
0,4,8.202553
0,3,8.215681
0,2,8.226983
0,6,8.249091
0,5,8.266967
0,2,8.276236
0,6,8.299912
0,3,8.312818
0,3,8.325012
0,3,8.337055
0,4,8.351715
0,4,8.365703
0,2,8.374616
0,2,8.383485
0,4,8.398486
0,8,8.429413
0,7,8.461801
0,4,8.484183
0,3,8.501723
0,4,8.521076
0,6,8.541627
0,5,8.559483
0,7,8.582457
0,2,8.591693
0,12,8.628599
0,4,8.642798
0,2,8.651932
0,4,8.666447
0,3,8.678836
0,8,8.704723
0,3,8.717322
0,4,8.734876
0,2,8.74566
0,2,8.755227
0,4,8.769843
0,8,8.804021
0,3,8.820439
0,3,8.844185
0,3,8.857806
0,3,8.870618
0,2,8.880469
0,5,8.8983
0,4,8.91289
0,3,8.925451
0,7,8.948742
0,3,8.961165
0,2,8.971035
0,20,9.029624
0,4,9.044718
0,3,9.056575
0,9,9.08371
0,2,9.093114
0,4,9.107571
0,10,9.137395
0,5,9.154342
0,2,9.16327
0,2,9.172817
0,7,9.194659
0,6,9.213659
0,4,9.228756
0,2,9.240868
0,4,9.256449
0,11,9.29131
0,3,9.304628
0,5,9.322478
0,2,9.331647
0,4,9.346423
0,2,9.355859
0,8,9.380175
0,10,9.411897
0,8,9.437567
0,2,9.446877
0,4,9.461641
0,2,9.471497
0,2,9.480624
0,12,9.516067
0,6,9.536247
0,2,9.54577
0,3,9.557828
0,3,9.570044
0,9,9.596656
0,4,9.610884
0,4,9.625473
0,6,9.644406
0,4,9.658622
0,5,9.675442
0,8,9.700693
0,5,9.717814
0,3,9.729238
0,8,9.758005
0,4,9.77257
0,2,9.782191
0,4,9.799939
0,5,9.817861
0,2,9.827153
0,4,9.843682
0,6,9.870361
0,3,9.885297
0,8,9.917568
0,2,9.928815
0,3,9.94425
0,4,9.962451
0,2,9.972982
0,5,9.990504
0,3,10.002911
0,6,10.022294
0,2,10.031471
0,3,10.043063
0,2,10.051923
0,5,10.068377
0,4,10.081845
0,2,10.090913
0,11,10.122296
0,11,10.154193
0,4,10.16821
0,2,10.177011
0,5,10.193889
0,4,10.207671
0,2,10.216522
0,3,10.228379
0,3,10.239944
0,9,10.270522
0,4,10.285604
0,6,10.308245
0,4,10.323124
0,3,10.334673
0,4,10.348414
0,7,10.369993
0,3,10.381447
0,4,10.395927
0,4,10.409801
0,3,10.421361
0,5,10.43742
0,11,10.469021
0,3,10.480668
0,11,10.512815
0,12,10.548518
0,4,10.565487
0,5,10.587126
0,2,10.596702
0,3,10.60997
0,5,10.629155
0,2,10.641312
0,4,10.656664
0,8,10.682724
0,4,10.69817
0,10,10.727348
0,5,10.743848
0,2,10.753718
0,6,10.776142
0,2,10.785889
0,2,10.797176
0,7,10.820741
0,7,10.843081
0,4,10.856749
0,2,10.865984
0,10,10.895377
0,6,10.914234
0,4,10.929551
0,7,10.952964
0,9,10.982484
0,2,10.992513
0,2,11.002206
0,7,11.026137
0,4,11.050748
0,2,11.061037
0,2,11.070579
0,15,11.118929
0,2,11.128923
0,3,11.141001
0,11,11.172264
0,5,11.188747
0,4,11.20286
0,6,11.221857
0,4,11.236449
0,2,11.245833
0,2,11.254754
0,15,11.305977
0,3,11.320224
0,3,11.332904
0,3,11.345562
0,5,11.363106
0,2,11.372762
0,4,11.388036
0,4,11.402809
0,2,11.412192
0,3,11.424789
0,3,11.436287
0,4,11.45143
0,2,11.460833
0,7,11.483877
0,4,11.500799
0,2,11.511769
0,2,11.523537
0,4,11.554681
0,6,11.58704
0,5,11.611272
0,4,11.6371
0,3,11.651844
0,5,11.679765
0,4,11.704436
0,4,11.735488
0,6,11.759266
0,2,11.771015
0,5,11.798335
0,12,11.847524
0,3,11.862979
0,2,11.87943
0,2,11.890623
0,5,11.918468
0,6,11.953504
0,10,12.018409
0,3,12.038824
0,3,12.06077
0,2,12.071319
0,2,12.081978
0,2,12.095476
0,2,12.106346
0,3,12.118824
0,6,12.139649
0,4,12.154546
0,2,12.164217
0,5,12.180998
0,6,12.199977
0,5,12.21716
0,8,12.242337
0,6,12.261712
0,2,12.270932
0,4,12.285141
0,10,12.319351
0,4,12.33489
0,5,12.353347
0,3,12.368476
0,2,12.377919
0,6,12.397704
0,4,12.41166
0,6,12.432787
0,3,12.445316
0,8,12.470675
0,5,12.49003
0,5,12.511661
0,3,12.523549
0,7,12.546909
0,2,12.556481
0,3,12.569703
0,12,12.60595
0,5,12.625973
0,3,12.638977
0,3,12.651934
0,7,12.685225
0,9,12.723362
0,5,12.752024
0,6,12.772325
0,3,12.784193
0,4,12.802376
0,2,12.81174
0,2,12.821174
0,5,12.838547
0,3,12.849834
0,8,12.874808
0,6,12.893671
0,4,12.911678
0,2,12.923406
0,6,12.958444
0,3,12.970838
0,4,12.985595
0,5,13.003655
0,2,13.014549
0,4,13.031516
0,2,13.046198
0,5,13.068319
0,4,13.087408
0,6,13.117624
0,3,13.13707
0,6,13.171911
0,3,13.186528
0,2,13.196223
0,2,13.205391
0,7,13.227934
0,5,13.245412
0,2,13.255012
0,3,13.266744
0,8,13.292875
0,3,13.308546
0,4,13.322427
0,3,13.334738
0,5,13.351673
0,7,13.373413
0,2,13.382689
0,4,13.396274
0,8,13.426522
0,3,13.444228
0,9,13.483468
0,6,13.509435
0,10,13.563617
0,3,13.585315
0,12,13.646808
0,6,13.675675
0,2,13.689068
0,8,13.723168
0,3,13.742552
0,3,13.765254
0,2,13.782631
0,3,13.80792
0,4,13.842384
0,3,13.860525
0,2,13.87197
0,8,13.904724
0,10,13.942115
0,2,13.955804
0,4,13.975629
0,2,13.986246
0,6,14.008932
0,2,14.020185
0,11,14.060011
0,3,14.076364
0,7,14.103689
0,9,14.136043
0,18,14.196212
0,2,14.206913
0,3,14.220299
0,8,14.246543
0,4,14.263077
0,6,14.286106
0,2,14.296611
0,3,14.313498
0,5,14.337058
0,2,14.347972
0,5,14.368682
0,4,14.38518
0,2,14.395747
0,8,14.420596
0,3,14.432999
0,3,14.444286
0,2,14.45329
0,8,14.48059
0,9,14.506007
0,4,14.519413
0,3,14.530275
0,4,14.545363
0,3,14.558209
0,4,14.577079
0,7,14.60303
0,4,14.619417
0,2,14.629207
0,2,14.64022
0,4,14.656368
0,4,14.673045
0,2,14.683068
0,8,14.710352
0,2,14.722156
0,4,14.738611
0,3,14.751147
0,5,14.771873
0,4,14.789002
0,21,14.862254
0,3,14.875117
0,3,14.887771
0,5,14.906667
0,9,14.936559
0,3,14.950385
0,4,14.966203
0,14,15.009116
0,2,15.019318
0,3,15.032186
0,5,15.050507
0,2,15.059859
0,2,15.072739
0,16,15.123784
0,5,15.142791
0,5,15.160529
0,4,15.176103
0,3,15.188353
0,3,15.202381
0,2,15.212615
0,7,15.236711
0,4,15.252297
0,2,15.262317
0,4,15.277886
0,5,15.296584
0,5,15.317843
0,2,15.327967
0,4,15.343668
0,5,15.362255
0,1,15.369629
0,5,15.38856
0,4,15.403389
0,5,15.421115
0,9,15.450052
0,4,15.465701
0,7,15.489428
0,3,15.502762
0,3,15.515664
0,4,15.530664
0,6,15.55256
0,4,15.568775
0,9,15.605389
0,2,15.617
0,7,15.649805
0,2,15.660247
0,6,15.682557
0,2,15.692994
0,3,15.707287
0,15,15.757212
0,2,15.767448
0,3,15.780949
0,3,15.796832
0,3,15.815384
0,2,15.828155
0,10,15.866968
0,4,15.885704
0,2,15.896344
0,9,15.925421
0,6,15.945976
0,7,15.96944
0,4,15.986533
0,6,16.008159
0,4,16.023404
0,4,16.039913
0,6,16.060702
0,3,16.073486
0,4,16.091604
0,6,16.119186
0,2,16.129213
0,2,16.138487
0,4,16.154955
0,7,16.185233
0,2,16.196392
0,3,16.210318
0,3,16.224921
0,12,16.261783
0,1,16.269326
0,5,16.286334
0,2,16.296594
0,2,16.307514
0,4,16.324103
0,3,16.337888
0,8,16.366284
0,2,16.376951
0,5,16.39468
0,2,16.40512
0,4,16.420548
0,9,16.447994
0,2,16.457219
0,4,16.472152
0,6,16.525981
0,7,16.593096
0,6,16.629038
0,2,16.652739
0,9,16.712029
0,8,16.767056
0,11,16.853258
0,2,16.911475
0,2,16.951669
0,7,17.000506
0,4,17.043445
0,2,17.066122
0,11,17.10751
0,3,17.11975
0,3,17.136462
0,3,17.152741
0,6,17.173605
0,2,17.183049
0,6,17.204515
0,3,17.217434
0,8,17.333079
0,3,17.604217
0,7,17.762848
0,6,17.870417
0,7,17.97151
0,5,18.044049
0,6,18.160183
0,2,18.188792
0,3,18.241662
0,7,18.309739
0,3,18.33172
0,5,18.371956
0,3,18.406453
0,7,18.453654
0,6,18.493969
0,2,18.511331
0,4,18.538628
0,3,18.561466
0,5,18.591989
0,12,18.655523
0,11,18.712385
0,6,18.745976
0,9,18.783552
0,4,18.799221
0,3,18.813052
0,2,18.825644
