#{"t_start": 1621049963.56602, "env_id": null}
r,l,t
7.9,10,14.272735
27.9,31,14.417382
51.4,59,14.676093
4.6,7,14.706464
12.3,15,14.773488
18.5,16,14.863115
24.6,28,14.988824
24.0,21,15.078989
22.2,24,15.181524
31.0,31,15.326166
0.2,3,15.344447
76.6,68,15.694144
26.4,25,15.820846
1.3,4,15.851137
18.7,18,15.960044
20.9,20,16.060534
13.8,21,16.163154
-0.9,2,16.17643
-0.7,6,16.21446
20.0,21,16.323837
1.3,4,16.352297
2.6,9,16.401572
23.3,24,16.520176
64.0,63,16.83052
4.4,5,16.859051
31.9,31,17.013475
20.2,24,17.13321
9.0,11,17.193052
17.8,20,17.291224
23.3,24,17.451697
13.8,21,17.565611
35.4,36,17.741937
31.0,32,17.900466
29.9,30,18.052989
-0.9,2,18.066762
22.0,21,18.170738
19.5,29,18.317498
23.3,26,18.45537
24.4,25,18.596604
15.6,17,18.694502
2.4,5,18.724802
10.1,12,18.795872
14.7,19,18.903795
10.5,18,18.995564
36.1,32,19.156494
0.2,3,19.178211
28.1,34,19.342846
23.1,23,19.458084
6.8,9,19.508559
4.6,8,19.558652
0.2,3,19.582695
26.2,23,19.710493
22.4,26,19.844967
-1.6,7,19.892547
11.2,13,19.966003
5.7,8,20.010052
4.6,8,20.054537
26.6,27,20.195247
12.3,14,20.27784
93.0,81,20.758677
10.1,12,20.838193
14.5,16,20.922414
0.2,3,20.944301
25.5,26,21.069699
5.7,8,21.116327
11.0,11,21.184986
11.2,14,21.272121
21.8,19,21.376933
36.3,34,21.551062
15.8,20,21.656804
15.6,17,21.743586
8.8,9,21.792861
7.9,10,21.867176
12.3,14,21.980022
5.7,8,22.025432
12.3,14,22.100784
12.5,17,22.205661
3.3,4,22.239349
20.0,21,22.357437
19.8,19,22.479398
18.0,22,22.616776
10.1,12,22.688433
29.5,27,22.830929
29.9,31,23.000761
30.1,34,23.197535
42.9,40,23.451427
24.4,25,23.604756
-0.9,2,23.620332
29.9,30,23.79273
66.0,62,24.122559
1.3,4,24.148039
35.4,35,24.338154
19.3,26,24.481937
6.8,9,24.540173
42.0,42,24.759045
7.7,8,24.808806
34.7,40,25.021887
10.3,16,25.108653
17.5,30,25.278035
18.7,18,25.380912
3.3,4,25.409548
-6.5,11,25.478651
18.2,25,25.603997
7.9,10,25.660492
11.2,13,25.730972
16.7,18,25.833734
5.7,8,25.876259
24.2,23,25.99628
20.7,18,26.09925
20.0,22,26.224078
7.0,12,26.307608
7.9,10,26.377703
0.4,6,26.411304
31.7,28,26.558008
9.4,17,26.666242
1.1,2,26.695516
5.7,8,26.747738
63.8,59,27.023574
42.2,45,27.220437
17.8,19,27.303592
10.5,19,27.385463
0.2,3,27.403495
13.2,13,27.463246
3.5,6,27.496316
6.8,9,27.538664
12.3,14,27.606498
37.4,35,27.753747
15.6,17,27.837226
2.4,5,27.861486
14.5,16,27.934449
16.7,18,28.011971
2.4,5,28.040882
16.5,16,28.114471
24.2,23,28.220228
7.7,8,28.261119
1.3,4,28.28984
21.1,23,28.408233
8.8,9,28.456104
6.8,9,28.507164
1.1,2,28.519838
4.6,7,28.559542
9.0,11,28.621089
1.1,2,28.63348
60.5,56,28.907722
-6.9,5,28.9362
12.3,14,29.008954
13.4,15,29.081143
12.1,12,29.13832
7.9,10,29.183999
75.2,78,29.527254
1.7,10,29.572334
13.4,15,29.64074
4.6,7,29.675482
9.0,11,29.725338
24.2,23,29.831492
22.0,22,29.929873
5.7,8,29.969463
