#{"t_start": 1620920483.533773, "env_id": null}
r,l,t
4.8,10,4.779201
1.3,4,4.79544
4.4,5,4.815904
-4,2,4.827661
1.5,7,4.855446
4.4,5,4.875146
0.2,3,4.886961
1.7,10,4.919161
1.3,4,4.934962
0.2,3,4.947257
1.1,2,4.958565
0.2,3,4.9731
1.1,2,4.984013
3.3,4,4.999282
0.4,6,5.019113
2.6,8,5.043953
-1.6,7,5.064842
1.1,2,5.073706
1.1,2,5.082678
0.2,3,5.094391
5.5,6,5.112734
2.4,6,5.131879
-0.7,6,5.151435
-3.6,8,5.177343
1.1,2,5.186808
1.5,7,5.208071
3.3,4,5.222173
1.3,4,5.23727
4.8,11,5.268319
1.1,2,5.276881
6.6,7,5.296527
0.2,3,5.306873
5.5,6,5.324612
1.3,4,5.337689
2.2,3,5.348399
0.2,3,5.359096
0.2,3,5.369798
4.4,5,5.385286
1.1,2,5.393939
1.1,2,5.402475
1.1,2,5.411
4.4,5,5.426128
3.3,4,5.439774
2.2,3,5.450483
2.4,6,5.468511
2.2,3,5.478794
5.9,12,5.510055
1.1,2,5.51818
2.6,9,5.542795
1.3,4,5.555814
0.2,3,5.566438
1.1,2,5.574892
6.8,10,5.601183
0.2,4,5.614015
1.3,5,5.629083
5.5,6,5.646825
2.2,3,5.657757
4.4,5,5.675857
5.5,6,5.6946
3.3,4,5.707943
1.1,2,5.7163
5.9,11,5.74496
-3.8,6,5.762036
3.3,4,5.775021
1.1,2,5.78345
16.7,19,5.829896
2.4,6,5.848112
1.1,2,5.85698
3.5,7,5.878315
3.3,4,5.893111
3.3,4,5.909331
1.1,2,5.920411
1.3,4,5.938971
0.2,3,5.954989
3.5,7,5.988537
1.1,2,6.002889
1.3,4,6.028508
1.1,2,6.040495
1.1,2,6.053402
-2.9,3,6.06789
3.5,7,6.090406
2.2,3,6.103029
5.5,6,6.122585
3.3,4,6.136945
1.3,4,6.153269
5.5,6,6.17441
2.4,5,6.192816
1.1,2,6.202464
1.3,4,6.216923
4.6,7,6.238478
10.3,16,6.281822
0.4,6,6.33334
1.1,2,6.344344
1.1,2,6.359222
3.3,4,6.37547
9.2,15,6.41777
-2.7,6,6.437012
3.3,4,6.450921
3.3,4,6.465112
2.4,5,6.482353
2.2,3,6.493936
0.2,4,6.508641
0.2,3,6.521047
-2.5,10,6.578208
3.3,4,6.606537
3.3,4,6.633933
3.5,7,6.660624
3.3,4,6.677183
0.2,3,6.690439
4.4,5,6.709286
1.3,4,6.723216
1.1,2,6.732061
-0.7,5,6.747489
2.2,3,6.758301
2.2,3,6.769981
-1.8,5,6.785713
2.4,5,6.801421
1.5,8,6.824002
1.1,2,6.832356
2.2,3,6.842875
3.9,13,6.877874
3.7,10,6.905159
-2.5,10,6.931345
1.1,2,6.939447
-3.4,11,6.9676
1.1,2,6.976157
4.8,10,7.002382
-1.8,5,7.017056
4.6,8,7.038869
1.3,4,7.051721
1.1,2,7.059994
3.3,4,7.075288
1.1,2,7.085959
1.1,2,7.09572
1.1,2,7.106221
3.3,4,7.122085
-0.5,9,7.151513
1.1,2,7.162188
0.2,3,7.175117
11.4,17,7.224389
1.1,2,7.233498
0.2,3,7.244443
1.1,2,7.253029
6.6,7,7.272775
4.4,5,7.289959
1.1,2,7.299104
1.1,2,7.30917
4.4,5,7.326851
1.1,2,7.336284
6.6,7,7.358156
1.1,2,7.368502
1.1,2,7.378266
1.1,2,7.387952
3.3,4,7.402646
3.3,4,7.41779
8.8,9,7.444252
1.1,2,7.453055
4.4,5,7.46814
0.2,4,7.481729
0.2,3,7.492348
1.1,2,7.50077
-0.7,6,7.518105
8.8,9,7.541704
4.4,5,7.556984
0.2,3,7.567449
2.2,3,7.577738
0.2,3,7.588828
2.2,3,7.599607
7.0,12,7.630922
1.1,2,7.639143
1.1,2,7.64734
2.4,5,7.664023
1.1,2,7.67411
5.5,6,7.723263
1.1,2,7.735966
4.4,5,7.752909
4.4,5,7.769478
5.7,9,7.795808
6.6,7,7.817548
2.4,5,7.834395
2.2,3,7.846511
3.3,4,7.861153
6.1,15,7.904555
2.2,3,7.915764
-0.9,3,7.927775
3.3,4,7.940584
3.3,4,7.953367
1.1,2,7.961601
5.7,9,7.98731
-0.5,8,8.010966
1.1,2,8.020158
4.6,8,8.043061
5.9,12,8.075737
5.7,9,8.101199
0.2,3,8.112586
4.4,5,8.12924
7.7,8,8.152425
0.2,3,8.164139
2.2,3,8.175875
3.3,4,8.192229
2.2,3,8.206297
1.1,2,8.215492
0.2,3,8.227079
2.4,5,8.247172
4.4,5,8.265082
2.8,11,8.296414
7.2,16,8.339777
0.2,4,8.354086
0.2,3,8.366017
1.3,4,8.380582
1.1,2,8.389745
1.1,2,8.399252
2.2,3,8.411238
0.2,3,8.424812
3.3,4,8.44152
-2.1,15,8.492168
0.2,4,8.509466
0.6,10,8.545031
1.1,2,8.555666
0.2,3,8.569354
1.1,2,8.578939
2.6,9,8.606318
5.5,6,8.626657
0.4,6,8.645797
2.2,3,8.657489
1.1,2,8.669686
11.0,11,8.70221
2.4,5,8.719415
4.6,7,8.744287
1.1,2,8.757164
5.5,6,8.77716
2.4,6,8.822715
1.3,4,8.858222
9.9,10,8.911983
5.7,9,8.945361
1.3,4,8.960853
0.2,3,8.972342
3.3,4,8.986127
1.5,8,9.00882
3.3,4,9.02282
1.1,2,9.031807
2.2,3,9.042985
1.1,2,9.051654
4.4,5,9.067458
0.2,3,9.078348
0.2,3,9.089105
2.2,3,9.100075
0.2,3,9.111022
1.1,2,9.119817
0.2,3,9.131002
3.3,4,9.145532
0.2,3,9.156813
9.9,10,9.189164
2.2,3,9.201241
1.1,2,9.21035
1.3,4,9.224589
4.4,5,9.241239
6.8,10,9.269198
2.2,3,9.2807
3.5,6,9.301349
1.1,2,9.312385
1.1,2,9.323713
3.5,7,9.345604
1.5,7,9.366806
2.4,5,9.383393
1.3,5,9.399464
2.2,3,9.410517
2.2,3,9.421813
2.2,3,9.433445
7.0,13,9.46896
2.2,3,9.480322
0.2,3,9.491443
0.2,3,9.50273
2.2,3,9.513864
1.1,2,9.522854
3.3,4,9.536574
8.8,9,9.562246
1.1,2,9.570998
1.1,2,9.579835
1.1,2,9.589453
2.4,5,9.607057
7.0,13,9.644558
5.5,6,9.66372
4.6,8,9.686822
2.2,3,9.697949
0.2,3,9.715427
1.1,2,9.726532
5.5,6,9.749129
1.5,8,9.77389
1.3,5,9.790615
2.2,3,9.803803
3.3,4,9.817796
1.1,2,9.827124
2.6,8,9.850811
0.2,4,9.864293
1.1,2,9.873204
1.1,2,9.882186
0.2,3,9.893399
-2.5,10,9.921455
4.8,11,9.952754
1.1,2,9.961757
2.4,5,9.978281
1.1,2,9.987682
1.3,4,10.002189
2.4,6,10.022755
5.5,6,10.041874
1.3,4,10.055836
0.2,4,10.069356
3.3,4,10.083136
2.4,6,10.101801
2.4,6,10.121072
6.6,7,10.141909
2.2,3,10.15424
1.1,2,10.163143
1.1,2,10.173938
-0.9,2,10.184184
3.3,4,10.198813
1.1,2,10.208172
1.1,2,10.218551
0.4,7,10.243944
1.3,5,10.260926
1.1,2,10.269772
1.1,2,10.278452
1.3,5,10.294367
1.1,2,10.303186
1.1,2,10.312141
6.6,7,10.332889
1.3,4,10.346169
0.2,4,10.359624
1.3,4,10.372536
4.6,8,10.395841
4.6,7,10.416315
0.2,4,10.430026
1.3,4,10.443472
1.5,8,10.466155
1.1,2,10.474675
2.4,6,10.491994
1.1,2,10.500182
2.4,6,10.517263
3.3,4,10.530168
1.1,2,10.538621
3.3,4,10.551697
1.1,2,10.5611
-4.7,7,10.584217
1.1,2,10.600897
1.1,2,10.61274
3.5,6,10.63487
4.4,5,10.654894
-0.7,6,10.680202
5.9,13,10.737141
0.4,7,10.768814
0.2,3,10.781495
8.8,9,10.811817
1.1,2,10.822025
2.2,3,10.835847
2.4,6,10.857685
6.8,9,10.887417
5.5,6,10.909247
4.4,5,10.928083
5.7,9,10.960754
1.3,5,10.979747
0.2,3,10.992506
-2.7,7,11.017722
1.1,2,11.029186
7.7,8,11.060352
5.5,6,11.083617
6.6,7,11.109182
3.5,6,11.132375
3.3,4,11.148392
2.4,5,11.165176
4.4,5,11.186271
4.6,7,11.20845
3.3,4,11.222808
1.1,2,11.233615
3.5,6,11.269325
1.1,2,11.279487
5.7,9,11.306161
3.5,6,11.32456
2.2,3,11.336011
1.1,2,11.344644
2.4,5,11.36
0.2,4,11.372902
1.3,5,11.388439
-0.5,8,11.411101
0.4,7,11.431343
10.3,15,11.47035
2.2,3,11.481591
0.2,3,11.492495
5.9,12,11.525118
0.2,3,11.536801
0.4,6,11.555607
3.3,4,11.569418
1.1,2,11.5784
9.6,21,11.647217
1.1,2,11.662212
1.1,2,11.673224
1.1,2,11.689337
3.3,4,11.708843
2.2,3,11.722457
4.4,5,11.742614
1.1,2,11.753023
1.1,2,11.765944
0.2,3,11.783485
2.2,3,11.796603
2.4,5,11.813931
1.1,2,11.823197
1.1,2,11.832351
1.1,2,11.841321
1.1,2,11.850179
-2,1,11.856417
3.9,12,11.901741
1.1,2,11.910579
0.6,10,11.93848
4.6,8,11.96099
1.1,2,11.969201
2.2,3,11.980328
0.4,6,11.999898
1.1,2,12.008932
0.4,7,12.031667
2.4,6,12.049925
1.1,2,12.05848
0.2,3,12.069061
3.3,4,12.083833
3.3,4,12.097793
3.3,4,12.111156
1.1,2,12.11965
2.2,3,12.130299
2.2,3,12.140767
2.4,5,12.155961
5.0,13,12.193174
1.1,2,12.202926
2.2,3,12.213846
1.3,4,12.227495
5.0,13,12.260854
0.2,3,12.274007
7.9,11,12.304679
1.1,2,12.313399
4.4,5,12.328803
11.0,12,12.359259
1.1,2,12.36742
3.5,7,12.387006
-2.7,7,12.407152
2.4,5,12.422027
1.1,2,12.430573
2.4,6,12.447982
2.2,3,12.458604
1.1,2,12.466682
-0.9,2,12.47541
1.5,8,12.497015
2.6,9,12.522554
1.1,2,12.531298
-6,3,12.543954
1.3,4,12.558526
1.1,2,12.568842
1.1,2,12.578665
1.1,2,12.588696
4.6,8,12.615688
1.1,2,12.627166
-0.5,9,12.660631
4.4,5,12.687009
1.7,10,12.726661
2.2,3,12.740871
0.2,3,12.753952
4.4,5,12.775341
1.1,2,12.790143
1.1,2,12.800968
1.3,5,12.822582
5.0,14,12.868833
1.1,2,12.879266
4.4,5,12.898648
1.3,4,12.915735
0.2,4,12.932997
3.3,4,12.949718
2.2,3,12.962966
5.5,6,12.985041
1.1,2,12.995586
2.2,3,13.008723
1.3,5,13.027393
1.1,2,13.040543
-8.3,16,13.08619
3.5,6,13.105161
0.4,7,13.126105
-0.7,5,13.141913
2.2,3,13.153356
3.3,4,13.167354
-4.9,4,13.181156
3.3,4,13.197665
1.3,5,13.215183
8.3,16,13.260286
2.2,3,13.272103
2.2,3,13.285436
2.2,3,13.299848
2.2,3,13.311889
9.9,10,13.341337
0.2,4,13.355349
1.1,2,13.364254
4.4,5,13.380313
-2.5,10,13.408391
4.4,5,13.42432
5.5,6,13.44341
1.1,2,13.452224
2.2,3,13.463294
1.1,2,13.472108
0.2,3,13.48373
0.2,3,13.494933
1.1,2,13.503422
11.0,11,13.533246
3.5,7,13.553382
2.6,8,13.576765
2.2,3,13.587949
0.2,3,13.598808
2.2,3,13.609979
7.2,16,13.652304
0.2,3,13.663489
11.2,13,13.698747
2.2,3,13.710095
1.1,2,13.719048
3.3,4,13.732904
1.1,2,13.741906
5.7,8,13.76518
5.5,6,13.793649
4.2,3,13.808923
1.3,5,13.825814
12.1,12,13.859867
1.1,2,13.868722
0.4,6,13.890289
-0.7,6,13.913575
7.7,8,13.937669
2.2,3,13.948274
1.1,2,13.956936
3.0,14,13.996029
-2,2,14.005706
1.1,2,14.015121
2.4,5,14.033742
2.4,6,14.052966
2.4,6,14.070457
1.1,2,14.078917
3.3,4,14.091668
5.5,6,14.109275
0.2,3,14.119603
4.4,5,14.134713
2.2,3,14.145547
-1.6,7,14.165147
-7.6,10,14.192868
7.9,11,14.224541
1.1,2,14.23287
12.5,18,14.277127
1.1,2,14.285796
9.9,10,14.313302
2.2,3,14.327818
0.4,6,14.347806
1.1,2,14.357336
2.2,3,14.369102
0.2,3,14.379955
2.2,3,14.392408
2.2,3,14.403957
8.1,14,14.442904
2.2,3,14.45474
2.4,5,14.471113
1.1,2,14.479715
3.3,4,14.493751
1.1,2,14.502153
-2,2,14.510792
7.0,13,14.544006
0.2,3,14.555185
4.4,5,14.570173
1.3,5,14.585157
1.3,4,14.598821
-4,3,14.609114
1.1,2,14.617533
3.3,4,14.630493
1.1,2,14.638738
6.8,9,14.663159
3.3,4,14.676221
3.5,7,14.697285
4.6,8,14.720453
1.1,2,14.729025
3.5,6,14.746753
1.1,2,14.754922
6.6,7,14.774867
6.8,10,14.801177
2.4,7,14.821469
6.6,7,14.843431
2.4,6,14.861798
-0.5,8,14.883306
6.8,10,14.909577
0.2,3,14.919867
3.3,4,14.933183
2.2,3,14.943874
1.1,2,14.952373
1.7,10,14.980569
0.2,3,14.991046
12.3,14,15.026041
0.2,3,15.036499
0.2,4,15.050382
2.2,3,15.060958
2.6,9,15.085076
2.2,3,15.095433
2.4,6,15.112607
1.1,2,15.12087
3.5,7,15.140299
4.4,5,15.155547
1.1,2,15.163888
3.5,7,15.187378
1.1,2,15.1978
1.5,8,15.221061
0.2,4,15.234068
1.1,2,15.242279
1.1,2,15.250453
3.3,4,15.2632
5.7,9,15.288971
9.0,11,15.322005
1.1,2,15.331883
2.2,3,15.34399
3.3,4,15.358644
2.2,3,15.37009
1.1,2,15.378823
2.4,6,15.39806
0.2,4,15.41202
0.6,10,15.441918
1.1,2,15.451093
1.1,2,15.460583
0.2,3,15.47135
1.3,4,15.484838
1.5,8,15.50772
1.1,2,15.516028
4.4,5,15.531418
1.5,8,15.553118
4.6,8,15.575425
2.4,6,15.592795
1.1,2,15.601652
2.4,6,15.619605
5.9,11,15.649067
3.3,4,15.66182
3.5,7,15.681857
2.2,3,15.692243
1.1,2,15.700644
1.1,2,15.709006
1.3,4,15.721641
6.6,7,15.741773
1.1,2,15.750139
